id,sampleId,imageUrl,createdAt,fileName
2743,686,http://backend-production-4bae.up.railway.app/uploads/1771942881875-5hm3jb.png,2026-02-24 14:21:22.012,roughness_proxy-1771942031266.png
2744,686,http://backend-production-4bae.up.railway.app/uploads/1771942881890-rdik14.png,2026-02-24 14:21:22.012,tensile_map-1771942031266.png
2745,687,http://backend-production-4bae.up.railway.app/uploads/1771942881902-nnjjkh.jpg,2026-02-24 14:21:22.091,sample-1771942031266.jpg
2746,687,http://backend-production-4bae.up.railway.app/uploads/1771942881907-vuisni.png,2026-02-24 14:21:22.091,luster_map-1771942031266.png
2747,687,http://backend-production-4bae.up.railway.app/uploads/1771942881919-kpbmmo.png,2026-02-24 14:21:22.091,roughness_proxy-1771942031266.png
2748,687,http://backend-production-4bae.up.railway.app/uploads/1771942881938-24hip9.png,2026-02-24 14:21:22.091,tensile_map-1771942031266.png
2749,688,http://backend-production-4bae.up.railway.app/uploads/1771942882083-f1mk3q.jpg,2026-02-24 14:21:22.212,sample-1771942066669.jpg
2750,688,http://backend-production-4bae.up.railway.app/uploads/1771942882083-4x6g8r.png,2026-02-24 14:21:22.212,luster_map-1771942066669.png
2751,688,http://backend-production-4bae.up.railway.app/uploads/1771942882090-0tybue.png,2026-02-24 14:21:22.212,roughness_proxy-1771942066669.png
2752,688,http://backend-production-4bae.up.railway.app/uploads/1771942882104-dumnpq.png,2026-02-24 14:21:22.212,tensile_map-1771942066669.png
2757,690,http://backend-production-4bae.up.railway.app/uploads/1771942882274-wp9jap.jpg,2026-02-24 14:21:22.418,sample-1771942102070.jpg
2758,690,http://backend-production-4bae.up.railway.app/uploads/1771942882279-l7ei49.png,2026-02-24 14:21:22.418,luster_map-1771942102070.png
2759,690,http://backend-production-4bae.up.railway.app/uploads/1771942882305-12q2k6.png,2026-02-24 14:21:22.418,roughness_proxy-1771942102070.png
2760,690,http://backend-production-4bae.up.railway.app/uploads/1771942882339-e5omvu.png,2026-02-24 14:21:22.418,tensile_map-1771942102070.png
2761,691,http://backend-production-4bae.up.railway.app/uploads/1771942882401-jx9lop.jpg,2026-02-24 14:21:22.547,sample-1771942102070.jpg
2762,691,http://backend-production-4bae.up.railway.app/uploads/1771942882412-rgf33u.png,2026-02-24 14:21:22.547,luster_map-1771942102070.png
2763,691,http://backend-production-4bae.up.railway.app/uploads/1771942882432-9xgfb6.png,2026-02-24 14:21:22.547,roughness_proxy-1771942102070.png
2764,691,http://backend-production-4bae.up.railway.app/uploads/1771942882447-yu74dv.png,2026-02-24 14:21:22.547,tensile_map-1771942102070.png
2765,692,http://backend-production-4bae.up.railway.app/uploads/1771942882601-2h8kd7.jpg,2026-02-24 14:21:22.751,sample-1771942137517.jpg
2766,692,http://backend-production-4bae.up.railway.app/uploads/1771942882608-d4vs67.png,2026-02-24 14:21:22.751,luster_map-1771942137517.png
2767,692,http://backend-production-4bae.up.railway.app/uploads/1771942882631-290m8r.png,2026-02-24 14:21:22.751,roughness_proxy-1771942137517.png
2768,692,http://backend-production-4bae.up.railway.app/uploads/1771942882659-49ec7o.png,2026-02-24 14:21:22.751,tensile_map-1771942137517.png
2781,696,http://backend-production-4bae.up.railway.app/uploads/1771942882935-rwaodk.jpg,2026-02-24 14:21:23.082,sample-1771942208500.jpg
2782,696,http://backend-production-4bae.up.railway.app/uploads/1771942882942-x7ysph.png,2026-02-24 14:21:23.082,luster_map-1771942208500.png
2783,696,http://backend-production-4bae.up.railway.app/uploads/1771942882970-2nmyvn.png,2026-02-24 14:21:23.082,roughness_proxy-1771942208500.png
2784,696,http://backend-production-4bae.up.railway.app/uploads/1771942883002-h7prlr.png,2026-02-24 14:21:23.082,tensile_map-1771942208500.png
2785,697,http://backend-production-4bae.up.railway.app/uploads/1771942883033-fwdjfk.jpg,2026-02-24 14:21:23.177,sample-1771942208500.jpg
2786,697,http://backend-production-4bae.up.railway.app/uploads/1771942883039-kgu6kt.png,2026-02-24 14:21:23.177,luster_map-1771942208500.png
2787,697,http://backend-production-4bae.up.railway.app/uploads/1771942883054-8oh34j.png,2026-02-24 14:21:23.177,roughness_proxy-1771942208500.png
