id,batchId,image_capture,classification,luster_value,roughness,tensile_strength,createdAt
10,3,http://backend-production-4bae.up.railway.app/uploads/1771587648395-3t1he7.jpg,Abaca,9.911470528842347,3.839351690205123,11.77138520010564,2026-02-20 11:40:49.287
13,3,http://backend-production-4bae.up.railway.app/uploads/1771591344218-chp6xo.jpg,Abaca,2.519782202712601,0.1515032823982528,0,2026-02-20 12:42:25.06
14,3,http://backend-production-4bae.up.railway.app/uploads/1771591344213-mpph7p.jpg,Daratex,10,10,44.52974927251282,2026-02-20 12:42:25.082
15,3,http://backend-production-4bae.up.railway.app/uploads/1771591344345-3vpslr.jpg,Abaca,10,5.259510148912272,44.52974927251282,2026-02-20 12:42:25.337
16,3,http://backend-production-4bae.up.railway.app/uploads/1771591345302-ei60yc.jpg,Abaca,2.580635555858204,0.2036888160835397,14.14063352028463,2026-02-20 12:42:25.555
17,3,http://backend-production-4bae.up.railway.app/uploads/1771591345319-gqp70m.jpg,Daratex,2.564590820936399,0.1121387921505711,15.43163511948503,2026-02-20 12:42:25.587
18,3,http://backend-production-4bae.up.railway.app/uploads/1771614415531-5xfccm.jpg,Abaca,2.563804424990253,0.08374155632182555,14.06072660042776,2026-02-20 19:06:56.267
19,4,http://backend-production-4bae.up.railway.app/uploads/1771621689192-gn9ujw.jpg,Abaca,2.518787092970868,0.08170608206400637,14.0807787154137,2026-02-20 21:08:09.69
20,4,http://backend-production-4bae.up.railway.app/uploads/1771621689273-dl9f7s.jpg,Daratex,2.506760813572409,0.1186158852833404,11.6397702328711,2026-02-20 21:08:09.81
21,4,http://backend-production-4bae.up.railway.app/uploads/1771621689879-q56s7p.jpg,Abaca,2.473511302276282,0.07314500728240339,12.14232421507095,2026-02-20 21:08:09.946
22,4,http://backend-production-4bae.up.railway.app/uploads/1771621690036-gvjan1.jpg,Abaca,2.506640934983779,0.09770080964039596,12.50417431529571,2026-02-20 21:08:10.123
23,4,http://backend-production-4bae.up.railway.app/uploads/1771621689556-274i4e.jpg,Daratex,2.511196548064939,0.1084029998615844,11.58444167632398,2026-02-20 21:08:10.135
24,4,http://backend-production-4bae.up.railway.app/uploads/1771621690328-84fg1r.jpg,Abaca,2.47350679829624,0.08866444750568936,11.75546867063659,2026-02-20 21:08:10.377
25,4,http://backend-production-4bae.up.railway.app/uploads/1771621690591-zfloye.jpg,Daratex,10,5,12.33787679403219,2026-02-20 21:08:10.627
26,4,http://backend-production-4bae.up.railway.app/uploads/1771621690169-1tm4ls.jpg,Abaca,2.503344217391952,0.07272471037064186,12.29794111467395,2026-02-20 21:08:10.691
27,4,http://backend-production-4bae.up.railway.app/uploads/1771621690839-ra4x6g.jpg,Abaca,2.471290552388583,0.08194411268344051,11.98718360391299,2026-02-20 21:08:10.884
28,4,http://backend-production-4bae.up.railway.app/uploads/1771621690880-q4avyb.jpg,Abaca,2.50740536736504,0.08668551227634422,12.10935538529033,2026-02-20 21:08:10.958
29,4,http://backend-production-4bae.up.railway.app/uploads/1771621691147-h8ketq.jpg,Daratex,2.492849681008424,0.08924657452605556,12.7845918272171,2026-02-20 21:08:11.19
30,4,http://backend-production-4bae.up.railway.app/uploads/1771621690879-e4ujwp.jpg,Abaca,2.487270516264796,0.06322616248929967,12.83547814109429,2026-02-20 21:08:11.595
31,4,http://backend-production-4bae.up.railway.app/uploads/1771621691128-9o6je5.jpg,Daratex,10,5,13.50353186755316,2026-02-20 21:08:11.65
32,4,http://backend-production-4bae.up.railway.app/uploads/1771621691412-zvev0x.jpg,Abaca,2.47443989608753,0.1059797665021855,12.0409231127596,2026-02-20 21:08:11.892
33,4,http://backend-production-4bae.up.railway.app/uploads/1771621691855-w4bi1z.jpg,Abaca,2.484662792999595,0.06603429874790634,12.61234129818121,2026-02-20 21:08:12.044
34,4,http://backend-production-4bae.up.railway.app/uploads/1771621692330-ku413u.jpg,Daratex,2.369462309433883,0.1313088947903495,12.76543637638206,2026-02-20 21:08:12.91
35,4,http://backend-production-4bae.up.railway.app/uploads/1771621692490-xusrgd.jpg,Abaca,2.467386131373394,0.08949251896148958,11.65709157935361,2026-02-20 21:08:13.227
36,4,http://backend-production-4bae.up.railway.app/uploads/1771621692647-le5ra5.jpg,Abaca,2.483110513815308,0.07723784854674717,11.72914256272022,2026-02-20 21:08:13.294
37,4,http://backend-production-4bae.up.railway.app/uploads/1771621693322-d5jf79.jpg,Abaca,2.510333687262123,0.09263286902889276,12.0691056237332,2026-02-20 21:08:13.47
38,4,http://backend-production-4bae.up.railway.app/uploads/1771621693683-88ggvc.jpg,Abaca,2.514794807503736,0.0894263338887288,12.49518389032136,2026-02-20 21:08:14.321
39,5,http://backend-production-4bae.up.railway.app/uploads/1771625001718-uhekuu.jpg,Daratex,2.540687162345121,0.1474689038684464,15.73327251220239,2026-02-20 22:03:22.461
